Gene stable ID,Gene name,NCBI gene ID
ENSG00000007047,MARK4,57787
ENSG00000007255,TRAPPC6A,79090
ENSG00000008438,PGLYRP1,8993
ENSG00000010310,GIPR,2696
ENSG00000010361,FUZ,80199
ENSG00000011422,PLAUR,5329
ENSG00000011478,QPCTL,54814
ENSG00000011485,PPP5C,5536
ENSG00000012061,ERCC1,2067
ENSG00000018869,ZNF582,147948
ENSG00000022556,NLRP2,55655
ENSG00000024422,EHD2,30846
ENSG00000039650,PNKP,11284
ENSG00000042753,AP2S1,1175
ENSG00000062822,POLD1,5424
ENSG00000063127,SLC6A16,28968
ENSG00000063169,BICRA,29998
ENSG00000063176,SPHK2,56848
ENSG00000063177,RPL18,6141
ENSG00000063180,CA11,770
ENSG00000063241,ISOC2,79763
ENSG00000063244,U2AF2,11338
ENSG00000063245,EPN1,29924
ENSG00000069399,BCL3,602
ENSG00000073008,PVR,5817
ENSG00000073050,XRCC1,7515
ENSG00000074219,TEAD2,8463
ENSG00000083807,SLC27A5,10998
ENSG00000083812,ZNF324,25799
ENSG00000083814,ZNF671,79891
ENSG00000083817,ZNF416,55659
ENSG00000083828,ZNF586,54807
ENSG00000083838,ZNF446,55663
ENSG00000083844,ZNF264,9422
ENSG00000083845,RPS5,6193
ENSG00000087074,PPP1R15A,23645
ENSG00000087076,HSD17B14,51171
ENSG00000087086,FTL,2512
ENSG00000087088,BAX,581
ENSG00000088038,CNOT3,4849
ENSG00000088053,GP6,51206
ENSG00000088832,FKBP1A,2280
ENSG00000088833,NSFL1C,55968
ENSG00000088876,ZNF343,79175
ENSG00000088881,EBF4,57593
ENSG00000088882,CPXM1,56265
ENSG00000089012,SIRPG,55423
ENSG00000090372,STRN4,29888
ENSG00000090554,FLT3LG,2323
ENSG00000090971,NAT14,57106
ENSG00000099326,MZF1,7593
ENSG00000101255,TRIB3,57761
ENSG00000101266,CSNK2A1,1457
ENSG00000101278,RPS10P5,
ENSG00000101298,SNPH,9751
ENSG00000101307,SIRPB1,10326
ENSG00000101361,NOP56,10528
