Gene stable ID,Gene name,NCBI gene ID
ENSG00000007350,TKTL1,8277
ENSG00000012817,KDM5D,8284
ENSG00000013563,DNASE1L1,1774
ENSG00000067048,DDX3Y,8653
ENSG00000067646,ZFY,7544
ENSG00000067829,IDH3G,3421
ENSG00000067840,PDZD4,57595
ENSG00000071553,ATP6AP1,537
ENSG00000071859,FAM50A,9130
ENSG00000071889,FAM3A,60343
ENSG00000089820,ARHGAP4,393
ENSG00000099725,PRKY,
ENSG00000101986,ABCD1,215
ENSG00000102030,NAA10,8260
ENSG00000102032,RENBP,5973
ENSG00000102119,EMD,2010
ENSG00000102125,TAZ,6901
ENSG00000102178,UBL4A,8266
ENSG00000114374,USP9Y,8287
ENSG00000124333,VAMP7,6845
ENSG00000126895,AVPR2,554
ENSG00000126903,SLC10A3,8273
ENSG00000129824,RPS4Y1,6192
ENSG00000130821,SLC6A8,6535
ENSG00000130826,DKC1,1736
ENSG00000130827,PLXNA3,55558
ENSG00000130830,MPP1,4354
ENSG00000131002,TXLNGY,
ENSG00000147403,RPL10,6134
ENSG00000154620,TMSB4Y,9087
ENSG00000155959,VBP1,7411
ENSG00000155961,RAB39B,116442
ENSG00000155962,CLIC2,1193
ENSG00000160211,G6PD,2539
ENSG00000160219,GAB3,139716
ENSG00000165775,FUNDC2,65991
ENSG00000168939,SPRY3,10251
ENSG00000169057,MECP2,4204
ENSG00000172534,HCFC1,3054
ENSG00000176728,TTTY14,
ENSG00000177854,TMEM187,8269
ENSG00000180879,SSR4,6748
ENSG00000182484,WASH6P,
ENSG00000182712,CMC4,100272147
ENSG00000183878,UTY,7404
ENSG00000184216,IRAK1,3654
ENSG00000184343,SRPK3,26576
ENSG00000185010,F8,2157
ENSG00000185275,CD24P4,
ENSG00000185515,BRCC3,79184
ENSG00000185825,BCAP31,10134
ENSG00000185973,TMLHE,55217
ENSG00000196924,FLNA,2316
ENSG00000196976,LAGE3,8270
ENSG00000197180,AC244090.1,
ENSG00000198692,EIF1AY,9086
ENSG00000198695,MT-ND6,4541
ENSG00000198712,MT-CO2,4513
ENSG00000198727,MT-CYB,4519
ENSG00000198763,MT-ND2,4536
ENSG00000198786,MT-ND5,4540
ENSG00000198804,MT-CO1,4512
ENSG00000198840,MT-ND3,4537
ENSG00000198886,MT-ND4,4538
ENSG00000198888,MT-ND1,4535
ENSG00000198899,MT-ATP6,4508
ENSG00000198938,MT-CO3,4514
ENSG00000203879,GDI1,2664
ENSG00000206693,SNORA56,
ENSG00000207165,SNORA70,
ENSG00000209082,MT-TL1,
ENSG00000210077,MT-TV,
ENSG00000210082,MT-RNR2,
ENSG00000210100,MT-TI,
ENSG00000210151,MT-TS1,
ENSG00000211459,MT-RNR1,
ENSG00000212907,MT-ND4L,4539
ENSG00000214827,MTCP1,4515
ENSG00000215414,PSMA6P1,
ENSG00000225393,BX571846.1,
ENSG00000227159,DDX11L16,
ENSG00000228253,MT-ATP8,4509
ENSG00000230578,AC234781.5,
ENSG00000231535,LINC00278,
ENSG00000231830,AC245140.1,
ENSG00000232725,U52111.1,
ENSG00000235001,EIF4A1P2,
ENSG00000260081,AF274858.1,
ENSG00000260197,AC010889.1,
